Time,PointCut,[T]totalTM,[T]FPSR,[1]totalFr,[2]totalTm,[1]totalTm,[1]outSze[T],[1]outSze[2],[2]outSize,[1]GPU_time,[2]GPU_time,[1]peak_RAM,[2]peak_RAM,[1]peak_VRAM,[2]peak_VRAM
14:30:20.463,-1,15.20189,-1,61,9.71183,7.78622,4.2 MB,11.4 MB,2.0 B,1.10006s,1.37914s,940.207MB,885.977MB,101.672MB,86.508MB
20:31:30.90,-1,9.11776,-1,61,5.29885,4.28753,4.2 MB,10.8 MB,2.0 B,0.74347s,0.93274s,935.492MB,886.531MB,101.672MB,82.081MB
20:33:56.502,-1,8.05269,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20:42:36.46,-1,7.22999,-1,61,5.69919,5.02184,4.2 MB,11.3 MB,2.0 B,0.49224s,0.859s,938.328MB,883.879MB,101.672MB,85.477MB
20:43:45.271,-1,9.06496,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20:52:57.366,-1,4.03828,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20:49:36.281,-1,358.7552,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20:51:23.392,-1,5.97831,-1,61,12.65581,3.15775,4.2 MB,9.9 MB,2.0 B,0.23503s,1.35703s,859.07MB,857.992MB,69.672MB,118.936MB
21:13:42.108,-1,2.00595,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10:5:48.690,-1,1.67597,-1,61,4.85377,4.87529,4.2 MB,1.4 MB,2.0 B,1.40423s,1.49659s,897.945MB,836.074MB,101.672MB,72.413MB
11:29:37.444,-1,32.21857,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11:29:55.339,-1,0.22262,-1,61,4.77444,4.63288,10.4 MB,5.5 MB,2.0 B,2.02992s,1.88091s,1093.52MB,977.027MB,152.202MB,152.258MB
11:31:14.905,-1,8.89544,-1,61,4.3982,4.28523,10.4 MB,5.5 MB,2.0 B,1.77145s,1.5398s,1095.555MB,976.035MB,152.202MB,152.258MB
11:31:51.943,-1,11.80616,-1,61,4.18474,4.08346,10.4 MB,5.5 MB,2.0 B,1.60745s,1.31785s,1094.652MB,976.582MB,152.202MB,152.258MB
11:33:50.269,-1,8.39972,-1,61,4.52932,4.25845,10.4 MB,5.5 MB,2.0 B,1.76377s,1.52303s,1094.516MB,976.84MB,152.202MB,152.258MB
15:2:57.33,-1,8.4912,-1,61,4.36158,4.3936,10.4 MB,5.5 MB,2.0 B,1.76787s,1.63091s,1093.832MB,976.062MB,152.202MB,152.258MB
15:3:29.133,-1,7.82193,-1,61,5.4475,5.37748,4.2 MB,2.2 MB,2.0 B,2.66218s,2.29631s,1104.828MB,979.0MB,91.64MB,93.704MB
16:52:3.558,-1,6285.41173,-1,61,-1,4.42427,4.2 MB,2.2 MB,-1,1.49778s,-1,1103.344MB,-1,91.64MB,-1
